column,non_null_rows,total_rows,coverage_pct,is_smart
capacity_bytes,27799986,27799986,100.0,False
cluster_id,27799986,27799986,100.0,False
datacenter,27799986,27799986,100.0,False
date,27799986,27799986,100.0,False
failure,27799986,27799986,100.0,False
is_legacy_format,27799986,27799986,100.0,False
model,27799986,27799986,100.0,False
pod_id,27799986,27799986,100.0,False
serial_number,27799986,27799986,100.0,False
vault_id,27799986,27799986,100.0,False
pod_slot_num,27421990,27799986,98.64,False
smart_12_normalized,27761188,27799986,99.86,True
smart_12_raw,27761188,27799986,99.86,True
smart_194_normalized,27760984,27799986,99.86,True
smart_194_raw,27760984,27799986,99.86,True
smart_9_normalized,27761188,27799986,99.86,True
smart_9_raw,27761188,27799986,99.86,True
smart_1_normalized,27733513,27799986,99.76,True
smart_1_raw,27733513,27799986,99.76,True
smart_192_normalized,27662025,27799986,99.5,True
smart_192_raw,27662025,27799986,99.5,True
smart_199_normalized,27595994,27799986,99.27,True
smart_199_raw,27595994,27799986,99.27,True
smart_5_normalized,27595994,27799986,99.27,True
smart_5_raw,27595994,27799986,99.27,True
smart_198_normalized,27568319,27799986,99.17,True
smart_198_raw,27568319,27799986,99.17,True
smart_10_normalized,27496831,27799986,98.91,True
smart_10_raw,27496831,27799986,98.91,True
smart_3_normalized,27496831,27799986,98.91,True
smart_3_raw,27496831,27799986,98.91,True
smart_4_normalized,27496831,27799986,98.91,True
smart_4_raw,27496831,27799986,98.91,True
smart_7_normalized,27496831,27799986,98.91,True
smart_7_raw,27496831,27799986,98.91,True
smart_193_normalized,27489582,27799986,98.88,True
smart_193_raw,27489582,27799986,98.88,True
smart_197_normalized,27025901,27799986,97.22,True
smart_197_raw,27025901,27799986,97.22,True
smart_196_normalized,17912599,27799986,64.43,True
smart_196_raw,17912599,27799986,64.43,True
smart_240_normalized,17851583,27799986,64.21,True
smart_240_raw,17851583,27799986,64.21,True
smart_2_normalized,17839022,27799986,64.17,True
smart_2_raw,17839022,27799986,64.17,True
smart_8_normalized,17839022,27799986,64.17,True
smart_8_raw,17839022,27799986,64.17,True
smart_241_normalized,11536075,27799986,41.5,True
smart_241_raw,11536075,27799986,41.5,True
smart_242_normalized,11535871,27799986,41.5,True
smart_242_raw,11535871,27799986,41.5,True
smart_191_normalized,10352759,27799986,37.24,True
smart_191_raw,10352759,27799986,37.24,True
smart_187_normalized,9738855,27799986,35.03,True
smart_187_raw,9738855,27799986,35.03,True
smart_188_normalized,9683194,27799986,34.83,True
smart_188_raw,9683194,27799986,34.83,True
smart_190_normalized,9647910,27799986,34.7,True
smart_190_raw,9647910,27799986,34.7,True
smart_22_normalized,8746983,27799986,31.46,True
smart_22_raw,8746983,27799986,31.46,True
smart_23_normalized,8705604,27799986,31.32,True
smart_23_raw,8705604,27799986,31.32,True
smart_24_normalized,8705604,27799986,31.32,True
smart_24_raw,8705604,27799986,31.32,True
smart_220_normalized,8201744,27799986,29.5,True
smart_220_raw,8201744,27799986,29.5,True
smart_222_normalized,8201744,27799986,29.5,True
smart_222_raw,8201744,27799986,29.5,True
smart_226_normalized,8201744,27799986,29.5,True
smart_226_raw,8201744,27799986,29.5,True
smart_223_normalized,8077255,27799986,29.05,True
smart_223_raw,8077255,27799986,29.05,True
smart_200_normalized,7595333,27799986,27.32,True
smart_200_raw,7595333,27799986,27.32,True
smart_224_normalized,7568305,27799986,27.22,True
smart_224_raw,7568305,27799986,27.22,True
smart_18_normalized,7414327,27799986,26.67,True
smart_18_raw,7414327,27799986,26.67,True
smart_195_normalized,4090970,27799986,14.72,True
smart_195_raw,4090970,27799986,14.72,True
smart_71_normalized,2870372,27799986,10.33,True
smart_71_raw,2870372,27799986,10.33,True
smart_90_normalized,2870372,27799986,10.33,True
smart_90_raw,2870372,27799986,10.33,True
smart_184_normalized,2239053,27799986,8.05,True
smart_184_raw,2239053,27799986,8.05,True
smart_189_normalized,2140267,27799986,7.7,True
smart_189_raw,2140267,27799986,7.7,True
smart_27_normalized,638007,27799986,2.29,True
smart_27_raw,638007,27799986,2.29,True
smart_173_normalized,256233,27799986,0.92,True
smart_173_raw,256233,27799986,0.92,True
smart_174_normalized,256233,27799986,0.92,True
smart_174_raw,256233,27799986,0.92,True
smart_233_normalized,200679,27799986,0.72,True
smart_233_raw,200679,27799986,0.72,True
smart_168_normalized,192665,27799986,0.69,True
smart_168_raw,192665,27799986,0.69,True
smart_170_normalized,193029,27799986,0.69,True
smart_170_raw,193029,27799986,0.69,True
smart_232_normalized,192665,27799986,0.69,True
smart_232_raw,192665,27799986,0.69,True
smart_235_normalized,165492,27799986,0.6,True
smart_235_raw,165492,27799986,0.6,True
smart_16_normalized,165194,27799986,0.59,True
smart_16_raw,165194,27799986,0.59,True
