model,drive_days
TOSHIBA MG08ACA16TA,3616128
TOSHIBA MG07ACA14TA,3385931
ST16000NM001G,3029485
WDC WUH722222ALE6L4,2870372
WDC WUH721816ALE6L4,2375575
ST12000NM0008,1714395
ST8000NM0055,1212798
HGST HUH721212ALE604,1197864
ST12000NM001G,1186197
ST14000NM001G,951836
HGST HUH721212ALN604,911546
ST8000DM002,814279
WDC WUH721414ALE6L4,771991
TOSHIBA MG10ACA20TE,633439
TOSHIBA MG08ACA16TE,531040
TOSHIBA MG08ACA16TEY,464361
HGST HMS5C4040BLE640,324039
WDC WUH721816ALE6L0,271090
HGST HUH721212ALE600,234542
ST24000NM002H,230406
ST14000NM0138,117692
Seagate BarraCuda 120 SSD ZA250CM10003,97408
HGST HUH728080ALE600,97312
ST10000NM0086,92767
ST12000NM0007,92483
ST12000NM000J,74446
TOSHIBA MG07ACA14TEY,70137
CT250MX500SSD1,63204
Seagate BarraCuda SSD ZA250CM10002,44070
ST16000NM002J,41431
DELLBOSS VD,38778
ST14000NM000J,22369
HGST HMS5C4040ALE640,22302
ST8000NM000A,22225
WDC WDS250G2B0A,15597
ST500LM030,15511
TOSHIBA MQ01ABF050,13411
Seagate IronWolf ZA250NM10002,12744
TOSHIBA MQ01ABF050M,12288
WD Blue SA510 2.5 250GB,11874
Seagate SSD,8996
WUH721816ALE6L4,7747
MTFDDAV240TCB,7740
ST500LM012 HN,7159
HGST HUH728080ALE604,7151
ST16000NM000J,6677
ST14000NM0018,5816
ST18000NM000J,5397
WDC WD5000LPVX,5092
TOSHIBA HDWF180,4939
TOSHIBA MG09ACA16TE,4568
WDC WD5000LPCX,4381
ST500LM021,2610
ST10000NM001G,2519
ST16000NM005G,2250
ST8000DM005,2158
HGST HUH721010ALE600,1799
HGST HUS728T8TALE6L4,1709
Seagate BarraCuda SSD ZA500CM10002,986
ST12000NM003G,840
WDC WD5000BPKT,630
ST12000NM0117,629
Seagate FireCuda 120 SSD ZA500GM10001,540
HGST HUS726040ALE610,498
ST14000NM002J,360
Micron 5300 MTFDDAK480TDS,270
Seagate BarraCuda 120 SSD ZA500CM10003,270
Seagate BarraCuda SSD ZA2000CM10002,180
MTFDDAV480TCB,180
ST4000DM000,144
SSDSCKKB240GZR,90
Samsung SSD 860 PRO 2TB,90
Samsung SSD 850 EVO 1TB,90
ST1000LM024 HN,90
Samsung SSD 850 PRO 1TB,24
SSDSCKKB480G8R,4
